,File,RelativePath,species
122,2022-09-28 23-05-39.JPG,01_CZARNE\B\Wczesna jesień\2,marten
123,2022-09-28 23-08-46.JPG,01_CZARNE\B\Wczesna jesień\2,marten
124,2022-10-03 18-41-47.JPG,01_CZARNE\B\Wczesna jesień\2,reddeer
125,2022-10-03 18-42-51.JPG,01_CZARNE\B\Wczesna jesień\2,reddeer
126,2022-10-03 18-43-03.JPG,01_CZARNE\B\Wczesna jesień\2,reddeer
127,2022-10-03 18-43-11.JPG,01_CZARNE\B\Wczesna jesień\2,reddeer
128,2022-10-03 18-43-19.JPG,01_CZARNE\B\Wczesna jesień\2,reddeer
129,2022-10-07 06-54-07.JPG,01_CZARNE\B\Wczesna jesień\2,squirrel
130,2022-09-27 06-20-31.JPG,01_CZARNE\B\Wczesna jesień\3,reddeer
131,2022-09-27 06-20-55.JPG,01_CZARNE\B\Wczesna jesień\3,reddeer
132,2022-09-27 06-35-26.JPG,01_CZARNE\B\Wczesna jesień\3,reddeer
133,2022-09-27 06-35-35.JPG,01_CZARNE\B\Wczesna jesień\3,reddeer
134,2022-09-27 06-35-43.JPG,01_CZARNE\B\Wczesna jesień\3,reddeer
135,2022-09-27 06-35-53.JPG,01_CZARNE\B\Wczesna jesień\3,reddeer
136,2022-09-28 00-24-23.JPG,01_CZARNE\B\Wczesna jesień\3,reddeer
137,2022-09-28 23-06-30.JPG,01_CZARNE\B\Wczesna jesień\3,reddeer
138,2022-09-28 23-06-41.JPG,01_CZARNE\B\Wczesna jesień\3,reddeer
139,2023-05-07 19-58-35.JPG,01_CZARNE\B\Wiosna\1,reddeer
140,2023-05-07 19-58-42.JPG,01_CZARNE\B\Wiosna\1,reddeer
141,2023-05-07 19-58-49.JPG,01_CZARNE\B\Wiosna\1,reddeer
142,2023-05-07 19-58-55.JPG,01_CZARNE\B\Wiosna\1,reddeer
143,2023-05-07 19-59-03.JPG,01_CZARNE\B\Wiosna\1,reddeer
144,2023-05-07 19-59-13.JPG,01_CZARNE\B\Wiosna\1,reddeer
145,2023-05-07 19-59-20.JPG,01_CZARNE\B\Wiosna\1,reddeer
146,2023-05-07 19-59-36.JPG,01_CZARNE\B\Wiosna\1,reddeer
147,2023-05-07 19-59-43.JPG,01_CZARNE\B\Wiosna\1,reddeer
148,2023-05-07 19-59-52.JPG,01_CZARNE\B\Wiosna\1,reddeer
149,2023-05-07 20-01-20.JPG,01_CZARNE\B\Wiosna\1,reddeer
150,2023-05-07 20-03-09.JPG,01_CZARNE\B\Wiosna\1,reddeer
151,2023-05-07 20-03-42.JPG,01_CZARNE\B\Wiosna\1,reddeer
152,2023-05-07 20-03-54.JPG,01_CZARNE\B\Wiosna\1,reddeer
153,2023-05-07 20-04-02.JPG,01_CZARNE\B\Wiosna\1,reddeer
154,2023-05-07 20-04-13.JPG,01_CZARNE\B\Wiosna\1,reddeer
155,2023-05-07 20-04-24.JPG,01_CZARNE\B\Wiosna\1,reddeer
156,2023-05-07 20-04-39.JPG,01_CZARNE\B\Wiosna\1,reddeer
157,2023-05-07 20-05-42.JPG,01_CZARNE\B\Wiosna\1,reddeer
158,2023-05-07 20-05-49.JPG,01_CZARNE\B\Wiosna\1,reddeer
159,2023-05-07 20-05-58.JPG,01_CZARNE\B\Wiosna\1,reddeer
160,2023-05-07 20-06-07.JPG,01_CZARNE\B\Wiosna\1,reddeer
161,2023-05-07 20-06-17.JPG,01_CZARNE\B\Wiosna\1,reddeer
162,2023-05-07 20-06-25.JPG,01_CZARNE\B\Wiosna\1,reddeer
163,2023-05-08 07-23-47.JPG,01_CZARNE\B\Wiosna\1,reddeer
164,2023-05-10 13-43-52.JPG,01_CZARNE\B\Wiosna\1,reddeer
165,2023-05-10 13-44-00.JPG,01_CZARNE\B\Wiosna\1,reddeer
166,2023-05-10 13-44-08.JPG,01_CZARNE\B\Wiosna\1,reddeer
167,2023-05-10 13-44-17.JPG,01_CZARNE\B\Wiosna\1,reddeer
168,2023-05-10 13-44-37.JPG,01_CZARNE\B\Wiosna\1,reddeer
169,2023-05-10 13-44-44.JPG,01_CZARNE\B\Wiosna\1,reddeer
170,2023-05-10 13-44-51.JPG,01_CZARNE\B\Wiosna\1,reddeer
171,2023-05-10 13-44-59.JPG,01_CZARNE\B\Wiosna\1,reddeer
172,2023-05-10 13-45-24.JPG,01_CZARNE\B\Wiosna\1,reddeer
173,2023-05-10 13-45-35.JPG,01_CZARNE\B\Wiosna\1,reddeer
174,2023-05-10 13-45-56.JPG,01_CZARNE\B\Wiosna\1,reddeer
175,2023-05-10 13-46-03.JPG,01_CZARNE\B\Wiosna\1,reddeer
176,2023-05-10 13-46-13.JPG,01_CZARNE\B\Wiosna\1,reddeer
177,2023-05-12 21-40-42.JPG,01_CZARNE\B\Wiosna\1,beaver
178,2023-05-14 11-09-45.JPG,01_CZARNE\B\Wiosna\1,bird
179,2023-05-14 11-10-20.JPG,01_CZARNE\B\Wiosna\1,bird
180,2023-05-16 22-22-22.JPG,01_CZARNE\B\Wiosna\1,beaver
181,2023-05-16 22-39-18.JPG,01_CZARNE\B\Wiosna\1,beaver
182,2023-05-21 09-53-24.JPG,01_CZARNE\B\Wiosna\1,fox
183,2023-05-21 09-56-18.JPG,01_CZARNE\B\Wiosna\1,fox
184,2023-05-04 09-00-11.JPG,01_CZARNE\B\Wiosna\2,bird
185,2023-05-07 13-32-20.JPG,01_CZARNE\B\Wiosna\2,reddeer
186,2023-05-07 13-32-27.JPG,01_CZARNE\B\Wiosna\2,reddeer
187,2023-05-07 13-32-39.JPG,01_CZARNE\B\Wiosna\2,reddeer
188,2023-05-07 13-32-47.JPG,01_CZARNE\B\Wiosna\2,reddeer
189,2023-05-07 13-33-00.JPG,01_CZARNE\B\Wiosna\2,reddeer
190,2023-05-07 13-39-01.JPG,01_CZARNE\B\Wiosna\2,reddeer
191,2023-05-07 13-39-09.JPG,01_CZARNE\B\Wiosna\2,reddeer
192,2023-05-07 13-39-17.JPG,01_CZARNE\B\Wiosna\2,reddeer
193,2023-05-07 13-39-30.JPG,01_CZARNE\B\Wiosna\2,reddeer
194,2023-05-07 13-41-33.JPG,01_CZARNE\B\Wiosna\2,reddeer
195,2023-05-07 17-57-13.JPG,01_CZARNE\B\Wiosna\2,reddeer
196,2023-05-07 17-57-20.JPG,01_CZARNE\B\Wiosna\2,reddeer
197,2023-05-08 07-13-31.JPG,01_CZARNE\B\Wiosna\2,reddeer
198,2023-05-08 07-16-10.JPG,01_CZARNE\B\Wiosna\2,reddeer
199,2023-05-08 07-16-21.JPG,01_CZARNE\B\Wiosna\2,reddeer
200,2023-05-11 19-47-11.JPG,01_CZARNE\B\Wiosna\2,reddeer
201,2023-05-11 19-47-20.JPG,01_CZARNE\B\Wiosna\2,reddeer
202,2023-05-11 19-47-35.JPG,01_CZARNE\B\Wiosna\2,reddeer
203,2023-05-13 05-58-53.JPG,01_CZARNE\B\Wiosna\2,roedeer
204,2023-05-13 22-20-08.JPG,01_CZARNE\B\Wiosna\2,marten
205,2023-05-15 04-31-51.JPG,01_CZARNE\B\Wiosna\2,reddeer
206,2023-05-15 04-32-00.JPG,01_CZARNE\B\Wiosna\2,reddeer
207,2023-05-02 22-38-56.JPG,01_CZARNE\B\Wiosna\3,reddeer
208,2023-05-02 22-39-05.JPG,01_CZARNE\B\Wiosna\3,reddeer
209,2023-05-02 22-39-13.JPG,01_CZARNE\B\Wiosna\3,reddeer
210,2023-05-02 22-39-21.JPG,01_CZARNE\B\Wiosna\3,reddeer
211,2023-05-05 09-06-50.JPG,01_CZARNE\B\Wiosna\3,roedeer
212,2023-05-05 09-07-14.JPG,01_CZARNE\B\Wiosna\3,roedeer
213,2023-05-05 09-07-43.JPG,01_CZARNE\B\Wiosna\3,roedeer
214,2023-05-05 09-07-59.JPG,01_CZARNE\B\Wiosna\3,roedeer
215,2023-05-05 09-11-05.JPG,01_CZARNE\B\Wiosna\3,roedeer
216,2023-05-05 09-11-14.JPG,01_CZARNE\B\Wiosna\3,roedeer
217,2023-05-05 20-32-47.JPG,01_CZARNE\B\Wiosna\3,roedeer
218,2023-05-06 01-13-02.JPG,01_CZARNE\B\Wiosna\3,roedeer
219,2023-05-06 14-12-14.JPG,01_CZARNE\B\Wiosna\3,reddeer
220,2023-05-06 14-12-25.JPG,01_CZARNE\B\Wiosna\3,reddeer
221,2023-05-06 14-12-32.JPG,01_CZARNE\B\Wiosna\3,reddeer
222,2023-05-06 14-12-39.JPG,01_CZARNE\B\Wiosna\3,reddeer
223,2023-05-06 14-12-51.JPG,01_CZARNE\B\Wiosna\3,reddeer
224,2023-05-06 14-12-59.JPG,01_CZARNE\B\Wiosna\3,reddeer
225,2023-05-06 14-13-13.JPG,01_CZARNE\B\Wiosna\3,reddeer
226,2023-05-06 14-13-21.JPG,01_CZARNE\B\Wiosna\3,reddeer
227,2023-05-06 14-13-30.JPG,01_CZARNE\B\Wiosna\3,reddeer
228,2023-05-06 14-13-37.JPG,01_CZARNE\B\Wiosna\3,reddeer
229,2023-05-07 13-49-02.JPG,01_CZARNE\B\Wiosna\3,reddeer
230,2023-05-07 20-06-42.JPG,01_CZARNE\B\Wiosna\3,reddeer
231,2023-05-07 20-06-56.JPG,01_CZARNE\B\Wiosna\3,reddeer
232,2023-05-07 20-14-18.JPG,01_CZARNE\B\Wiosna\3,reddeer
233,2023-05-09 13-42-05.JPG,01_CZARNE\B\Wiosna\3,roedeer
234,2023-05-09 13-42-13.JPG,01_CZARNE\B\Wiosna\3,roedeer
235,2023-05-09 13-42-20.JPG,01_CZARNE\B\Wiosna\3,roedeer
236,2023-05-11 07-37-33.JPG,01_CZARNE\B\Wiosna\3,Empty
237,2023-05-11 19-04-27.JPG,01_CZARNE\B\Wiosna\3,reddeer
238,2023-05-11 19-04-54.JPG,01_CZARNE\B\Wiosna\3,reddeer
239,2023-05-11 19-05-01.JPG,01_CZARNE\B\Wiosna\3,reddeer
240,2023-05-11 19-05-09.JPG,01_CZARNE\B\Wiosna\3,reddeer
241,2023-05-11 19-05-17.JPG,01_CZARNE\B\Wiosna\3,reddeer
242,2023-05-11 19-05-25.JPG,01_CZARNE\B\Wiosna\3,reddeer
243,2023-05-11 19-05-33.JPG,01_CZARNE\B\Wiosna\3,reddeer
244,2023-05-12 17-48-52.JPG,01_CZARNE\B\Wiosna\3,reddeer
245,2023-05-12 17-49-01.JPG,01_CZARNE\B\Wiosna\3,reddeer
246,2023-05-15 18-49-56.JPG,01_CZARNE\B\Wiosna\3,roedeer
247,2023-05-15 18-50-05.JPG,01_CZARNE\B\Wiosna\3,roedeer
248,2023-05-18 17-07-47.JPG,01_CZARNE\B\Wiosna\3,reddeer
249,2023-05-18 17-08-03.JPG,01_CZARNE\B\Wiosna\3,reddeer
250,2023-05-18 17-08-16.JPG,01_CZARNE\B\Wiosna\3,reddeer
251,2023-05-18 17-08-28.JPG,01_CZARNE\B\Wiosna\3,reddeer
252,2023-02-27 12-03-19.JPG,01_CZARNE\B\Zima\1,reddeer
253,2023-03-09 16-18-49.JPG,01_CZARNE\B\Zima\1,bird
254,2023-02-27 00-07-32.JPG,01_CZARNE\B\Zima\2,fox
255,2023-02-27 00-07-40.JPG,01_CZARNE\B\Zima\2,fox
256,2023-02-28 07-38-03.JPG,01_CZARNE\B\Zima\2,fox
257,2023-02-28 07-38-10.JPG,01_CZARNE\B\Zima\2,fox
258,2023-02-28 07-53-43.JPG,01_CZARNE\B\Zima\2,fox
259,2023-02-28 07-53-50.JPG,01_CZARNE\B\Zima\2,fox
260,2023-02-28 07-54-46.JPG,01_CZARNE\B\Zima\2,fox
261,2023-02-28 08-31-54.JPG,01_CZARNE\B\Zima\2,bird
262,2023-03-01 22-15-43.JPG,01_CZARNE\B\Zima\2,fox
263,2023-03-03 09-43-28.JPG,01_CZARNE\B\Zima\2,human
264,2023-03-05 23-56-15.JPG,01_CZARNE\B\Zima\2,fox
265,2023-03-06 06-00-19.JPG,01_CZARNE\B\Zima\2,fox
266,2023-03-06 06-00-27.JPG,01_CZARNE\B\Zima\2,fox
267,2023-03-06 06-00-34.JPG,01_CZARNE\B\Zima\2,fox
268,2023-03-08 13-24-20.JPG,01_CZARNE\B\Zima\2,bird
269,2023-03-09 14-02-59.JPG,01_CZARNE\B\Zima\2,fox
270,2023-03-10 18-14-42.JPG,01_CZARNE\B\Zima\2,fox
271,2023-02-28 18-23-43.JPG,01_CZARNE\B\Zima\3,rodent
272,2023-03-01 10-39-58.JPG,01_CZARNE\B\Zima\3,squirrel
273,2023-03-03 09-43-23.JPG,01_CZARNE\B\Zima\3,human
274,2023-03-03 09-43-31.JPG,01_CZARNE\B\Zima\3,human
275,2023-03-04 05-33-03.JPG,01_CZARNE\B\Zima\3,rodent
276,2023-03-04 06-56-42.JPG,01_CZARNE\B\Zima\3,squirrel
277,2023-03-07 04-03-14.JPG,01_CZARNE\B\Zima\3,rodent
278,2023-03-07 21-43-50.JPG,01_CZARNE\B\Zima\3,rodent
279,2023-03-08 04-49-02.JPG,01_CZARNE\B\Zima\3,rodent
280,2023-03-08 10-25-35.JPG,01_CZARNE\B\Zima\3,bird
281,2023-03-09 21-40-23.JPG,01_CZARNE\B\Zima\3,rodent
282,2023-07-16 16-22-36.JPG,01_CZARNE\R\Lato\1,bird
283,2023-07-16 16-22-49.JPG,01_CZARNE\R\Lato\1,bird
284,2023-07-16 16-23-00.JPG,01_CZARNE\R\Lato\1,bird
285,2023-07-18 03-36-36.JPG,01_CZARNE\R\Lato\1,roedeer
286,2023-07-20 20-57-12.JPG,01_CZARNE\R\Lato\1,fox
287,2023-07-27 00-11-29.JPG,01_CZARNE\R\Lato\1,reddeer
288,2023-07-27 00-11-37.JPG,01_CZARNE\R\Lato\1,reddeer
289,2023-07-27 00-29-42.JPG,01_CZARNE\R\Lato\1,reddeer
290,2023-07-27 00-29-50.JPG,01_CZARNE\R\Lato\1,reddeer
291,2023-07-27 20-11-08.JPG,01_CZARNE\R\Lato\1,otter
292,2023-07-17 06-31-22.JPG,01_CZARNE\R\Lato\2,roedeer
293,2023-07-17 06-31-30.JPG,01_CZARNE\R\Lato\2,roedeer
294,2023-07-17 06-31-38.JPG,01_CZARNE\R\Lato\2,roedeer
295,2023-07-17 06-31-45.JPG,01_CZARNE\R\Lato\2,roedeer
296,2023-07-17 06-31-56.JPG,01_CZARNE\R\Lato\2,roedeer
297,2023-07-17 22-30-59.JPG,01_CZARNE\R\Lato\2,fox
298,2023-07-18 03-36-56.JPG,01_CZARNE\R\Lato\2,roedeer
299,2023-07-18 03-37-03.JPG,01_CZARNE\R\Lato\2,roedeer
300,2023-07-18 04-55-57.JPG,01_CZARNE\R\Lato\2,reddeer
301,2023-07-18 04-56-09.JPG,01_CZARNE\R\Lato\2,reddeer
302,2023-07-18 04-56-16.JPG,01_CZARNE\R\Lato\2,reddeer
303,2023-07-18 04-56-24.JPG,01_CZARNE\R\Lato\2,reddeer
304,2023-07-18 04-56-32.JPG,01_CZARNE\R\Lato\2,reddeer
305,2023-07-18 04-56-42.JPG,01_CZARNE\R\Lato\2,reddeer
306,2023-07-18 04-56-51.JPG,01_CZARNE\R\Lato\2,reddeer
307,2023-07-18 04-56-57.JPG,01_CZARNE\R\Lato\2,reddeer
308,2023-07-18 04-57-05.JPG,01_CZARNE\R\Lato\2,reddeer
309,2023-07-18 04-57-12.JPG,01_CZARNE\R\Lato\2,reddeer
310,2023-07-18 04-57-19.JPG,01_CZARNE\R\Lato\2,reddeer
311,2023-07-18 04-57-28.JPG,01_CZARNE\R\Lato\2,reddeer
312,2023-07-18 04-57-36.JPG,01_CZARNE\R\Lato\2,reddeer
313,2023-07-18 04-57-44.JPG,01_CZARNE\R\Lato\2,reddeer
314,2023-07-18 04-57-54.JPG,01_CZARNE\R\Lato\2,reddeer
315,2023-07-18 04-58-02.JPG,01_CZARNE\R\Lato\2,reddeer
316,2023-07-18 04-58-09.JPG,01_CZARNE\R\Lato\2,reddeer
317,2023-07-18 04-58-17.JPG,01_CZARNE\R\Lato\2,reddeer
318,2023-07-18 04-58-24.JPG,01_CZARNE\R\Lato\2,reddeer
319,2023-07-18 04-58-32.JPG,01_CZARNE\R\Lato\2,reddeer
320,2023-07-18 04-58-40.JPG,01_CZARNE\R\Lato\2,reddeer
321,2023-07-21 04-28-53.JPG,01_CZARNE\R\Lato\2,roedeer
322,2023-07-27 00-30-07.JPG,01_CZARNE\R\Lato\2,reddeer
323,2023-07-27 00-30-15.JPG,01_CZARNE\R\Lato\2,reddeer
324,2023-07-26 20-05-06.JPG,01_CZARNE\R\Lato\3,reddeer
325,2023-07-27 00-07-59.JPG,01_CZARNE\R\Lato\3,reddeer
326,2023-07-28 13-12-15.JPG,01_CZARNE\R\Lato\3,roedeer
327,2022-11-27 20-44-11.JPG,01_CZARNE\R\Późna jesień\1,fox
328,2022-12-01 06-50-24.JPG,01_CZARNE\R\Późna jesień\1,roedeer
329,2022-12-01 06-50-31.JPG,01_CZARNE\R\Późna jesień\1,roedeer
330,2022-12-08 15-02-31.JPG,01_CZARNE\R\Późna jesień\1,reddeer
331,2022-12-08 15-03-02.JPG,01_CZARNE\R\Późna jesień\1,reddeer
332,2022-12-08 15-03-12.JPG,01_CZARNE\R\Późna jesień\1,reddeer
333,2022-12-08 15-03-20.JPG,01_CZARNE\R\Późna jesień\1,reddeer
334,2022-12-08 15-03-28.JPG,01_CZARNE\R\Późna jesień\1,reddeer
335,2022-12-08 15-03-35.JPG,01_CZARNE\R\Późna jesień\1,reddeer
336,2022-12-08 15-03-43.JPG,01_CZARNE\R\Późna jesień\1,reddeer
337,2022-12-08 15-03-50.JPG,01_CZARNE\R\Późna jesień\1,reddeer
