,image,detected_animal,confidence
32,../../pictures/01_CZARNE/B/Lato/2/2023-07-28 19-09-16.JPG,red deer,0.9987472295761108
33,../../pictures/01_CZARNE/B/Lato/2/2023-07-28 19-09-24.JPG,red deer,0.9991359114646912
34,../../pictures/01_CZARNE/B/Lato/3/2023-07-19 05-18-16.JPG,dog,0.4453134536743164
35,../../pictures/01_CZARNE/B/Lato/3/2023-07-22 04-52-44.JPG,red deer,0.999671459197998
36,../../pictures/01_CZARNE/B/Późna jesień/2/2022-12-04 22-31-44.JPG,lynx,0.9970069527626038
37,../../pictures/01_CZARNE/B/Późna jesień/2/2022-12-04 22-31-51.JPG,lynx,0.9990956783294678
38,../../pictures/01_CZARNE/B/Późna jesień/2/2022-12-06 21-22-22.JPG,wolf,0.6619387865066528
39,../../pictures/01_CZARNE/B/Późna jesień/2/2022-12-09 00-23-47.JPG,lynx,0.9992893934249878
40,../../pictures/01_CZARNE/B/Późna jesień/2/2022-12-10 13-43-49.JPG,dog,0.9577265381813049
41,../../pictures/01_CZARNE/B/Późna jesień/3/2022-12-06 21-20-43.JPG,roe deer,0.9916633367538452
42,../../pictures/01_CZARNE/B/Późna jesień/3/2022-12-09 03-59-04.JPG,wild boar,0.940911054611206
43,../../pictures/01_CZARNE/B/Późna jesień/3/2022-12-09 03-59-13.JPG,wild boar,0.9996451139450073
44,../../pictures/01_CZARNE/B/Wczesna jesień/1/2022-09-25 07-12-39.JPG,squirrel,0.9999116659164429
45,../../pictures/01_CZARNE/B/Wczesna jesień/1/2022-09-26 06-17-05.JPG,red deer,0.9997318387031555
46,../../pictures/01_CZARNE/B/Wczesna jesień/1/2022-09-26 06-17-34.JPG,red deer,0.9998784065246582
47,../../pictures/01_CZARNE/B/Wczesna jesień/1/2022-09-26 06-17-44.JPG,red deer,0.9998499155044556
48,../../pictures/01_CZARNE/B/Wczesna jesień/1/2022-10-06 00-19-07.JPG,wolf,0.993148148059845
49,../../pictures/01_CZARNE/B/Wczesna jesień/2/2022-09-25 23-53-12.JPG,chamois,0.15658780932426453
50,../../pictures/01_CZARNE/B/Wczesna jesień/2/2022-09-26 16-49-12.JPG,bird,0.9562067985534668
51,../../pictures/01_CZARNE/B/Wczesna jesień/2/2022-09-28 23-05-39.JPG,mustelid,0.997873067855835
52,../../pictures/01_CZARNE/B/Wczesna jesień/2/2022-09-28 23-08-46.JPG,mustelid,0.9999145269393921
53,../../pictures/01_CZARNE/B/Wczesna jesień/2/2022-10-03 18-43-03.JPG,red deer,0.9980588555335999
54,../../pictures/01_CZARNE/B/Wczesna jesień/2/2022-10-07 06-54-07.JPG,squirrel,0.9919188618659973
55,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-07 19-58-35.JPG,red deer,0.9990254640579224
56,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-07 19-59-03.JPG,red deer,0.9994957447052002
57,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-07 19-59-13.JPG,red deer,0.9997979998588562
58,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-07 19-59-43.JPG,red deer,0.9995878338813782
59,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-07 20-03-09.JPG,red deer,0.9908603429794312
60,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-07 20-05-58.JPG,red deer,0.9997072815895081
61,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-07 20-06-25.JPG,red deer,0.9993715882301331
62,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-10 13-44-08.JPG,red deer,0.9983550906181335
63,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-10 13-45-56.JPG,red deer,0.9997991919517517
64,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-10 13-46-13.JPG,red deer,0.9993113279342651
65,../../pictures/01_CZARNE/B/Wiosna/2/2023-05-08 07-16-10.JPG,empty,0.0
66,../../pictures/01_CZARNE/B/Wiosna/2/2023-05-13 05-58-53.JPG,empty,0.0
67,../../pictures/01_CZARNE/B/Wiosna/2/2023-05-15 04-32-00.JPG,empty,0.0
68,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-12 21-40-42.JPG,raccoon dog,0.749242901802063
69,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-14 11-09-45.JPG,bird,0.9876863956451416
70,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-14 11-10-20.JPG,bird,0.9002595543861389
71,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-16 22-22-22.JPG,bear,0.8046665787696838
72,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-16 22-39-18.JPG,bear,0.4164881706237793
73,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-21 09-53-24.JPG,golden jackal,0.5112067461013794
74,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-21 09-56-18.JPG,fox,0.9098860621452332
75,../../pictures/01_CZARNE/B/Wiosna/2/2023-05-04 09-00-11.JPG,bird,0.8299421668052673
76,../../pictures/01_CZARNE/B/Wiosna/2/2023-05-07 13-39-01.JPG,red deer,0.998762845993042
77,../../pictures/01_CZARNE/B/Wiosna/2/2023-05-07 13-39-30.JPG,red deer,0.9988155364990234
78,../../pictures/01_CZARNE/B/Wiosna/2/2023-05-07 13-41-33.JPG,red deer,0.9980570673942566
79,../../pictures/01_CZARNE/B/Wiosna/2/2023-05-07 17-57-20.JPG,red deer,0.9403399229049683
80,../../pictures/01_CZARNE/B/Wiosna/2/2023-05-13 22-20-08.JPG,mustelid,0.9956963062286377
81,../../pictures/01_CZARNE/B/Wiosna/3/2023-05-02 22-39-05.JPG,red deer,0.9981533885002136
82,../../pictures/01_CZARNE/B/Wiosna/3/2023-05-05 09-11-05.JPG,roe deer,0.9129131436347961
83,../../pictures/01_CZARNE/B/Wiosna/3/2023-05-06 01-13-02.JPG,dog,0.4334105849266052
84,../../pictures/01_CZARNE/B/Wiosna/3/2023-05-06 14-12-14.JPG,red deer,0.9972250461578369
85,../../pictures/01_CZARNE/B/Wiosna/3/2023-05-06 14-12-25.JPG,red deer,0.9866857528686523
86,../../pictures/01_CZARNE/B/Wiosna/3/2023-05-07 13-49-02.JPG,red deer,0.9976723790168762
87,../../pictures/01_CZARNE/B/Wiosna/3/2023-05-07 20-06-42.JPG,red deer,0.9995495676994324
88,../../pictures/01_CZARNE/B/Wiosna/3/2023-05-11 07-37-33.JPG,empty,0.0
89,../../pictures/01_CZARNE/B/Zima/2/2023-02-27 00-07-40.JPG,empty,0.0
90,../../pictures/01_CZARNE/B/Zima/2/2023-03-03 09-43-28.JPG,empty,0.0
91,../../pictures/01_CZARNE/B/Wiosna/3/2023-05-09 13-42-13.JPG,roe deer,0.9959337115287781
92,../../pictures/01_CZARNE/B/Wiosna/3/2023-05-11 19-05-09.JPG,red deer,0.9910316467285156
93,../../pictures/01_CZARNE/B/Wiosna/3/2023-05-12 17-49-01.JPG,red deer,0.9945460557937622
94,../../pictures/01_CZARNE/B/Wiosna/3/2023-05-15 18-50-05.JPG,roe deer,0.4277247190475464
95,../../pictures/01_CZARNE/B/Zima/1/2023-03-09 16-18-49.JPG,bird,0.9997113347053528
96,../../pictures/01_CZARNE/B/Zima/2/2023-02-27 00-07-32.JPG,fox,0.6999846696853638
97,../../pictures/01_CZARNE/B/Zima/2/2023-02-28 07-38-03.JPG,fox,0.7457830309867859
98,../../pictures/01_CZARNE/B/Zima/2/2023-02-28 07-38-10.JPG,fox,0.9757429957389832
99,../../pictures/01_CZARNE/B/Zima/2/2023-02-28 07-53-43.JPG,fox,0.7263467311859131
100,../../pictures/01_CZARNE/B/Zima/2/2023-02-28 07-53-50.JPG,fox,0.9677647352218628
101,../../pictures/01_CZARNE/B/Zima/2/2023-02-28 07-54-46.JPG,fox,0.9177449345588684
102,../../pictures/01_CZARNE/B/Zima/2/2023-02-28 08-31-54.JPG,bird,0.8394474983215332
103,../../pictures/01_CZARNE/B/Zima/2/2023-03-01 22-15-43.JPG,fox,0.9995138645172119
104,../../pictures/01_CZARNE/B/Zima/2/2023-03-05 23-56-15.JPG,fox,0.9764431118965149
105,../../pictures/01_CZARNE/B/Zima/2/2023-03-06 06-00-19.JPG,fox,0.9630177617073059
106,../../pictures/01_CZARNE/B/Zima/2/2023-03-06 06-00-27.JPG,fox,0.9631631970405579
107,../../pictures/01_CZARNE/B/Zima/2/2023-03-06 06-00-34.JPG,fox,0.9776300191879272
108,../../pictures/01_CZARNE/B/Zima/2/2023-03-08 13-24-20.JPG,bird,0.9654945731163025
109,../../pictures/01_CZARNE/B/Zima/2/2023-03-09 14-02-59.JPG,fox,0.7423089146614075
110,../../pictures/01_CZARNE/B/Zima/2/2023-03-10 18-14-42.JPG,fox,0.691414475440979
111,../../pictures/01_CZARNE/B/Zima/3/2023-02-28 18-23-43.JPG,empty,0.0
112,../../pictures/01_CZARNE/B/Zima/3/2023-03-01 10-39-58.JPG,empty,0.0
113,../../pictures/01_CZARNE/B/Zima/3/2023-03-03 09-43-23.JPG,empty,0.0
114,../../pictures/01_CZARNE/B/Zima/3/2023-03-03 09-43-31.JPG,empty,0.0
115,../../pictures/01_CZARNE/B/Zima/3/2023-03-04 05-33-03.JPG,empty,0.0
116,../../pictures/01_CZARNE/B/Zima/3/2023-03-07 04-03-14.JPG,empty,0.0
117,../../pictures/01_CZARNE/B/Zima/3/2023-03-07 21-43-50.JPG,empty,0.0
118,../../pictures/01_CZARNE/B/Zima/3/2023-03-09 21-40-23.JPG,empty,0.0
119,../../pictures/01_CZARNE/R/Lato/1/2023-07-16 16-22-49.JPG,empty,0.0
120,../../pictures/01_CZARNE/B/Zima/3/2023-03-04 06-56-42.JPG,squirrel,0.9963870048522949
121,../../pictures/01_CZARNE/B/Zima/3/2023-03-08 04-49-02.JPG,cat,0.5088752508163452
122,../../pictures/01_CZARNE/B/Zima/3/2023-03-08 10-25-35.JPG,bird,0.9960479140281677
123,../../pictures/01_CZARNE/R/Lato/1/2023-07-16 16-22-36.JPG,bird,0.9838931560516357
124,../../pictures/01_CZARNE/R/Lato/1/2023-07-16 16-23-00.JPG,bird,0.9993727803230286
125,../../pictures/01_CZARNE/R/Lato/1/2023-07-20 20-57-12.JPG,fox,0.7157530188560486
126,../../pictures/01_CZARNE/R/Lato/1/2023-07-27 20-11-08.JPG,raccoon dog,0.32496798038482666
127,../../pictures/01_CZARNE/R/Lato/2/2023-07-17 06-31-45.JPG,roe deer,0.993550181388855
128,../../pictures/01_CZARNE/R/Lato/2/2023-07-17 22-30-59.JPG,mustelid,0.8422794342041016
129,../../pictures/01_CZARNE/R/Lato/2/2023-07-18 03-36-56.JPG,roe deer,0.8721137046813965
130,../../pictures/01_CZARNE/R/Lato/2/2023-07-18 03-37-03.JPG,roe deer,0.8583247065544128
131,../../pictures/01_CZARNE/R/Lato/2/2023-07-18 04-56-24.JPG,red deer,0.9758772850036621
132,../../pictures/01_CZARNE/R/Lato/2/2023-07-18 04-56-51.JPG,red deer,0.9914480447769165
133,../../pictures/01_CZARNE/R/Lato/2/2023-07-18 04-57-28.JPG,red deer,0.910801351070404
134,../../pictures/01_CZARNE/R/Lato/2/2023-07-18 04-57-36.JPG,red deer,0.7626045346260071
135,../../pictures/01_CZARNE/R/Lato/2/2023-07-18 04-57-54.JPG,red deer,0.9198070168495178
136,../../pictures/01_CZARNE/R/Lato/2/2023-07-18 04-58-02.JPG,bear,0.2390296310186386
137,../../pictures/01_CZARNE/R/Lato/2/2023-07-18 04-58-17.JPG,red deer,0.7314137816429138
138,../../pictures/01_CZARNE/R/Lato/3/2023-07-28 13-12-15.JPG,red deer,0.5493775010108948
139,../../pictures/01_CZARNE/R/Późna jesień/1/2022-11-27 20-44-11.JPG,fox,0.9913781881332397
140,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-03-20.JPG,red deer,0.9920308589935303
141,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-06-09.JPG,red deer,0.9920944571495056
142,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-07-03.JPG,red deer,0.9937937259674072
143,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-07-31.JPG,red deer,0.9783193469047546
144,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-08-09.JPG,red deer,0.9891213774681091
145,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-24-54.JPG,red deer,0.7062722444534302
146,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-25-19.JPG,red deer,0.8728759288787842
147,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-27-28.JPG,red deer,0.9573302268981934
148,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-28-10.JPG,red deer,0.9344770312309265
149,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-28-18.JPG,red deer,0.976772129535675
150,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-28-32.JPG,red deer,0.9496123790740967
151,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-30-22.JPG,red deer,0.9939233660697937
152,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-30-47.JPG,red deer,0.9609289765357971
153,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-31-10.JPG,red deer,0.9943863153457642
154,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-09-04.JPG,wild boar,0.9996840953826904
155,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-09-11.JPG,wild boar,0.9998390674591064
156,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-09-19.JPG,wild boar,0.9997854828834534
157,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-09-30.JPG,wild boar,0.9991480112075806
158,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-09-38.JPG,wild boar,0.9998111128807068
159,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-09-45.JPG,wild boar,0.9990718364715576
160,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-09-56.JPG,wild boar,0.8719161748886108
161,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-10-05.JPG,wild boar,0.9977619647979736
162,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-10-16.JPG,wild boar,0.9987682700157166
163,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-10 20-27-31.JPG,fox,0.9906128644943237
164,../../pictures/01_CZARNE/R/Późna jesień/2/2022-11-27 16-24-33.JPG,wild boar,0.9963183403015137
165,../../pictures/01_CZARNE/R/Późna jesień/2/2022-11-27 16-24-49.JPG,wild boar,0.9992565512657166
166,../../pictures/01_CZARNE/R/Późna jesień/2/2022-11-27 16-25-07.JPG,wild boar,0.9993687272071838
167,../../pictures/01_CZARNE/R/Późna jesień/2/2022-11-27 16-25-23.JPG,wild boar,0.9998124241828918
168,../../pictures/01_CZARNE/R/Późna jesień/2/2022-11-27 16-25-31.JPG,wild boar,0.999922513961792
169,../../pictures/01_CZARNE/R/Późna jesień/2/2022-11-27 16-25-43.JPG,wild boar,0.9997847676277161
170,../../pictures/01_CZARNE/R/Późna jesień/2/2022-11-27 16-25-57.JPG,wild boar,0.9996994733810425
171,../../pictures/01_CZARNE/R/Późna jesień/2/2022-12-01 04-39-36.JPG,red deer,0.9845682382583618
172,../../pictures/01_CZARNE/R/Późna jesień/2/2022-12-01 04-40-53.JPG,red deer,0.9776621460914612
173,../../pictures/01_CZARNE/R/Późna jesień/2/2022-12-05 19-30-06.JPG,red deer,0.9990466237068176
174,../../pictures/01_CZARNE/R/Późna jesień/2/2022-12-05 19-30-48.JPG,red deer,0.9998365640640259
175,../../pictures/01_CZARNE/R/Późna jesień/2/2022-12-05 19-31-32.JPG,red deer,0.9993734955787659
176,../../pictures/01_CZARNE/R/Późna jesień/2/2022-12-05 19-32-47.JPG,red deer,0.9977515339851379
177,../../pictures/01_CZARNE/R/Późna jesień/2/2022-12-08 14-53-11.JPG,red deer,0.9929468035697937
178,../../pictures/01_CZARNE/R/Późna jesień/2/2022-12-08 14-59-37.JPG,red deer,0.9981321692466736
179,../../pictures/01_CZARNE/R/Późna jesień/2/2022-12-08 14-59-45.JPG,red deer,0.9970276951789856
180,../../pictures/01_CZARNE/R/Późna jesień/2/2022-12-09 01-08-37.JPG,wild boar,0.9987528324127197
181,../../pictures/01_CZARNE/R/Późna jesień/2/2022-12-09 01-09-04.JPG,wild boar,0.9662314653396606
182,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-20-57.JPG,wild boar,0.9989494681358337
183,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-21-04.JPG,wild boar,0.9996384382247925
184,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-21-11.JPG,wild boar,0.9995468258857727
185,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-21-18.JPG,wild boar,0.9911285638809204
186,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-21-27.JPG,wild boar,0.9989768266677856
187,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-21-36.JPG,wild boar,0.9997424483299255
188,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-21-45.JPG,wild boar,0.9995997548103333
189,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-21-52.JPG,wild boar,0.9974759221076965
190,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-22-01.JPG,raccoon,0.2984084188938141
191,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-22-10.JPG,wild boar,0.9996281862258911
192,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-22-20.JPG,wild boar,0.9996302127838135
193,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-22-29.JPG,wild boar,0.9998084902763367
194,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-22-36.JPG,wild boar,0.9944753050804138
195,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-22-44.JPG,wild boar,0.9988135099411011
196,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-22-51.JPG,wild boar,0.9996039271354675
197,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-22-58.JPG,wild boar,0.9970564842224121
198,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-23-06.JPG,wild boar,0.9996941089630127
199,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-23-13.JPG,wild boar,0.9997443556785583
200,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-23-21.JPG,wild boar,0.9995003938674927
201,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-23-29.JPG,wild boar,0.9975468516349792
202,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-23-36.JPG,wild boar,0.9992836117744446
203,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-23-44.JPG,wild boar,0.9997510313987732
204,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-23-53.JPG,wild boar,0.9997748732566833
205,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-24-01.JPG,wild boar,0.9998558759689331
206,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-24-10.JPG,wild boar,0.9937652349472046
207,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-24-17.JPG,wild boar,0.9979957342147827
208,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-24-24.JPG,wild boar,0.9992055296897888
209,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-24-32.JPG,wild boar,0.9995173215866089
210,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-24-40.JPG,wild boar,0.989841878414154
211,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-24-49.JPG,wild boar,0.9974049925804138
212,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-25-00.JPG,wild boar,0.9825628995895386
213,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-25-08.JPG,wild boar,0.9980369210243225
214,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-25-16.JPG,wild boar,0.9992831349372864
215,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-25-23.JPG,wild boar,0.9998113512992859
216,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-25-30.JPG,wild boar,0.9997895359992981
217,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-25-37.JPG,wild boar,0.99970942735672
218,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-25-46.JPG,wild boar,0.9956205487251282
219,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-25-54.JPG,wild boar,0.9979434609413147
220,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-28-08.JPG,empty,0.0
221,../../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-22-40.JPG,empty,0.0
222,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-26-02.JPG,wild boar,0.9983108043670654
223,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-26-10.JPG,wild boar,0.9247283935546875
224,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-26-21.JPG,wild boar,0.9813289642333984
225,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-26-28.JPG,wild boar,0.9996360540390015
226,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-26-35.JPG,wild boar,0.9996440410614014
227,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-26-44.JPG,wild boar,0.9997157454490662
228,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-26-51.JPG,wild boar,0.9989595413208008
229,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-27-00.JPG,wild boar,0.9968211650848389
230,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-27-08.JPG,wild boar,0.8944488167762756
231,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-27-15.JPG,wild boar,0.9844537377357483
232,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-27-57.JPG,raccoon,0.4830349385738373
233,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-28 03-57-14.JPG,cow,0.6112326979637146
234,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-30 09-31-46.JPG,dog,0.999278724193573
235,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-30 18-05-32.JPG,fox,0.8109129071235657
236,../../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-21-58.JPG,mustelid,0.8709558844566345
237,../../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-23-24.JPG,mustelid,0.9891608357429504
238,../../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-23-37.JPG,mustelid,0.7918596267700195
239,../../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-24-17.JPG,mustelid,0.8499447703361511
240,../../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-26-47.JPG,mustelid,0.8694117665290833
241,../../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-26-55.JPG,mustelid,0.9927888512611389
242,../../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-31-55.JPG,empty,0.0
243,../../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-32-11.JPG,empty,0.0
244,../../pictures/01_CZARNE/R/Późna jesień/3/2022-12-06 03-23-53.JPG,empty,0.0
245,../../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-31-12.JPG,fox,0.715975284576416
246,../../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-31-19.JPG,fox,0.4113275706768036
247,../../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-32-03.JPG,mustelid,0.9969311952590942
248,../../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-32-29.JPG,mustelid,0.7519292235374451
249,../../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-32-46.JPG,mustelid,0.9977005124092102
250,../../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-33-10.JPG,mustelid,0.8673393726348877
251,../../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-33-21.JPG,mustelid,0.9689004421234131
