,image_path,species
77,../pictures/01_CZARNE/B/Wiosna/2/2023-05-08 07-16-10.JPG,red deer
78,../pictures/01_CZARNE/B/Wiosna/2/2023-05-13 05-58-53.JPG,roe deer
79,../pictures/01_CZARNE/B/Wiosna/2/2023-05-13 22-20-08.JPG,marten
80,../pictures/01_CZARNE/B/Wiosna/2/2023-05-15 04-32-00.JPG,red deer
81,../pictures/01_CZARNE/B/Wiosna/3/2023-05-02 22-39-05.JPG,red deer
82,../pictures/01_CZARNE/B/Wiosna/3/2023-05-05 09-11-05.JPG,roe deer
83,../pictures/01_CZARNE/B/Wiosna/3/2023-05-06 01-13-02.JPG,roe deer
84,../pictures/01_CZARNE/B/Wiosna/3/2023-05-06 14-12-14.JPG,red deer
85,../pictures/01_CZARNE/B/Wiosna/3/2023-05-06 14-12-25.JPG,red deer
86,../pictures/01_CZARNE/B/Wiosna/3/2023-05-07 13-49-02.JPG,red deer
87,../pictures/01_CZARNE/B/Wiosna/3/2023-05-07 20-06-42.JPG,red deer
88,../pictures/01_CZARNE/B/Wiosna/3/2023-05-09 13-42-13.JPG,roe deer
89,../pictures/01_CZARNE/B/Wiosna/3/2023-05-11 07-37-33.JPG,empty
90,../pictures/01_CZARNE/B/Wiosna/3/2023-05-11 19-05-09.JPG,red deer
91,../pictures/01_CZARNE/B/Wiosna/3/2023-05-12 17-49-01.JPG,red deer
92,../pictures/01_CZARNE/B/Wiosna/3/2023-05-15 18-50-05.JPG,roe deer
93,../pictures/01_CZARNE/B/Zima/1/2023-03-09 16-18-49.JPG,bird
94,../pictures/01_CZARNE/B/Zima/2/2023-02-27 00-07-32.JPG,fox
95,../pictures/01_CZARNE/B/Zima/2/2023-02-27 00-07-40.JPG,fox
96,../pictures/01_CZARNE/B/Zima/2/2023-02-28 07-38-03.JPG,fox
97,../pictures/01_CZARNE/B/Zima/2/2023-02-28 07-38-10.JPG,fox
98,../pictures/01_CZARNE/B/Zima/2/2023-02-28 07-53-43.JPG,fox
99,../pictures/01_CZARNE/B/Zima/2/2023-02-28 07-53-50.JPG,fox
100,../pictures/01_CZARNE/B/Zima/2/2023-02-28 07-54-46.JPG,fox
101,../pictures/01_CZARNE/B/Zima/2/2023-02-28 08-31-54.JPG,bird
102,../pictures/01_CZARNE/B/Zima/2/2023-03-01 22-15-43.JPG,fox
103,../pictures/01_CZARNE/B/Zima/2/2023-03-03 09-43-28.JPG,empty
104,../pictures/01_CZARNE/B/Zima/2/2023-03-05 23-56-15.JPG,fox
105,../pictures/01_CZARNE/B/Zima/2/2023-03-06 06-00-19.JPG,fox
106,../pictures/01_CZARNE/B/Zima/2/2023-03-06 06-00-27.JPG,fox
107,../pictures/01_CZARNE/B/Zima/2/2023-03-06 06-00-34.JPG,fox
108,../pictures/01_CZARNE/B/Zima/2/2023-03-08 13-24-20.JPG,bird
109,../pictures/01_CZARNE/B/Zima/2/2023-03-09 14-02-59.JPG,fox
110,../pictures/01_CZARNE/B/Zima/2/2023-03-10 18-14-42.JPG,fox
111,../pictures/01_CZARNE/B/Zima/3/2023-02-28 18-23-43.JPG,rodent
112,../pictures/01_CZARNE/B/Zima/3/2023-03-01 10-39-58.JPG,squirrel
113,../pictures/01_CZARNE/B/Zima/3/2023-03-03 09-43-23.JPG,empty
114,../pictures/01_CZARNE/B/Zima/3/2023-03-03 09-43-31.JPG,empty
115,../pictures/01_CZARNE/B/Zima/3/2023-03-04 05-33-03.JPG,rodent
116,../pictures/01_CZARNE/B/Zima/3/2023-03-04 06-56-42.JPG,squirrel
117,../pictures/01_CZARNE/B/Zima/3/2023-03-07 04-03-14.JPG,rodent
118,../pictures/01_CZARNE/B/Zima/3/2023-03-07 21-43-50.JPG,rodent
119,../pictures/01_CZARNE/B/Zima/3/2023-03-08 04-49-02.JPG,rodent
120,../pictures/01_CZARNE/B/Zima/3/2023-03-08 10-25-35.JPG,bird
121,../pictures/01_CZARNE/B/Zima/3/2023-03-09 21-40-23.JPG,rodent
122,../pictures/01_CZARNE/R/Lato/1/2023-07-16 16-22-36.JPG,bird
123,../pictures/01_CZARNE/R/Lato/1/2023-07-16 16-22-49.JPG,bird
124,../pictures/01_CZARNE/R/Lato/1/2023-07-16 16-23-00.JPG,bird
125,../pictures/01_CZARNE/R/Lato/1/2023-07-20 20-57-12.JPG,fox
126,../pictures/01_CZARNE/R/Lato/1/2023-07-27 20-11-08.JPG,otter
127,../pictures/01_CZARNE/R/Lato/2/2023-07-17 06-31-45.JPG,roe deer
128,../pictures/01_CZARNE/R/Lato/2/2023-07-17 22-30-59.JPG,fox
129,../pictures/01_CZARNE/R/Lato/2/2023-07-18 03-36-56.JPG,roe deer
130,../pictures/01_CZARNE/R/Lato/2/2023-07-18 03-37-03.JPG,roe deer
131,../pictures/01_CZARNE/R/Lato/2/2023-07-18 04-56-24.JPG,red deer
132,../pictures/01_CZARNE/R/Lato/2/2023-07-18 04-56-51.JPG,red deer
133,../pictures/01_CZARNE/R/Lato/2/2023-07-18 04-57-28.JPG,red deer
134,../pictures/01_CZARNE/R/Lato/2/2023-07-18 04-57-36.JPG,red deer
135,../pictures/01_CZARNE/R/Lato/2/2023-07-18 04-57-54.JPG,red deer
136,../pictures/01_CZARNE/R/Lato/2/2023-07-18 04-58-02.JPG,red deer
137,../pictures/01_CZARNE/R/Lato/2/2023-07-18 04-58-17.JPG,red deer
138,../pictures/01_CZARNE/R/Lato/3/2023-07-28 13-12-15.JPG,roe deer
139,../pictures/01_CZARNE/R/Późna jesień/1/2022-11-27 20-44-11.JPG,fox
140,../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-03-20.JPG,red deer
141,../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-06-09.JPG,red deer
142,../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-07-03.JPG,red deer
143,../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-07-31.JPG,red deer
144,../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-08-09.JPG,red deer
145,../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-24-54.JPG,red deer
146,../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-25-19.JPG,red deer
147,../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-27-28.JPG,red deer
148,../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-28-10.JPG,red deer
149,../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-28-18.JPG,red deer
150,../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-28-32.JPG,red deer
151,../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-30-22.JPG,red deer
152,../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-30-47.JPG,red deer
153,../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-31-10.JPG,red deer
154,../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-09-04.JPG,wild boar
155,../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-09-11.JPG,wild boar
156,../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-09-19.JPG,wild boar
157,../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-09-30.JPG,wild boar
158,../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-09-38.JPG,wild boar
159,../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-09-45.JPG,wild boar
160,../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-09-56.JPG,wild boar
161,../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-10-05.JPG,wild boar
162,../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-10-16.JPG,wild boar
163,../pictures/01_CZARNE/R/Późna jesień/1/2022-12-10 20-27-31.JPG,fox
164,../pictures/01_CZARNE/R/Późna jesień/2/2022-11-27 16-24-33.JPG,wild boar
165,../pictures/01_CZARNE/R/Późna jesień/2/2022-11-27 16-24-49.JPG,wild boar
166,../pictures/01_CZARNE/R/Późna jesień/2/2022-11-27 16-25-07.JPG,wild boar
167,../pictures/01_CZARNE/R/Późna jesień/2/2022-11-27 16-25-23.JPG,wild boar
168,../pictures/01_CZARNE/R/Późna jesień/2/2022-11-27 16-25-31.JPG,wild boar
169,../pictures/01_CZARNE/R/Późna jesień/2/2022-11-27 16-25-43.JPG,wild boar
170,../pictures/01_CZARNE/R/Późna jesień/2/2022-11-27 16-25-57.JPG,wild boar
171,../pictures/01_CZARNE/R/Późna jesień/2/2022-12-01 04-39-36.JPG,red deer
172,../pictures/01_CZARNE/R/Późna jesień/2/2022-12-01 04-40-53.JPG,red deer
173,../pictures/01_CZARNE/R/Późna jesień/2/2022-12-05 19-30-06.JPG,red deer
174,../pictures/01_CZARNE/R/Późna jesień/2/2022-12-05 19-30-48.JPG,red deer
175,../pictures/01_CZARNE/R/Późna jesień/2/2022-12-05 19-31-32.JPG,red deer
176,../pictures/01_CZARNE/R/Późna jesień/2/2022-12-05 19-32-47.JPG,red deer
177,../pictures/01_CZARNE/R/Późna jesień/2/2022-12-08 14-53-11.JPG,red deer
178,../pictures/01_CZARNE/R/Późna jesień/2/2022-12-08 14-59-37.JPG,red deer
179,../pictures/01_CZARNE/R/Późna jesień/2/2022-12-08 14-59-45.JPG,red deer
180,../pictures/01_CZARNE/R/Późna jesień/2/2022-12-09 01-08-37.JPG,wild boar
181,../pictures/01_CZARNE/R/Późna jesień/2/2022-12-09 01-09-04.JPG,wild boar
182,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-20-57.JPG,wild boar
183,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-21-04.JPG,wild boar
184,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-21-11.JPG,wild boar
185,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-21-18.JPG,wild boar
186,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-21-27.JPG,wild boar
187,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-21-36.JPG,wild boar
188,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-21-45.JPG,wild boar
189,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-21-52.JPG,wild boar
190,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-22-01.JPG,wild boar
191,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-22-10.JPG,wild boar
192,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-22-20.JPG,wild boar
193,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-22-29.JPG,wild boar
194,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-22-36.JPG,wild boar
195,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-22-44.JPG,wild boar
196,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-22-51.JPG,wild boar
197,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-22-58.JPG,wild boar
198,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-23-06.JPG,wild boar
199,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-23-13.JPG,wild boar
200,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-23-21.JPG,wild boar
201,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-23-29.JPG,wild boar
202,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-23-36.JPG,wild boar
203,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-23-44.JPG,wild boar
204,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-23-53.JPG,wild boar
205,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-24-01.JPG,wild boar
206,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-24-10.JPG,wild boar
207,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-24-17.JPG,wild boar
208,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-24-24.JPG,wild boar
209,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-24-32.JPG,wild boar
210,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-24-40.JPG,wild boar
211,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-24-49.JPG,wild boar
212,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-25-00.JPG,wild boar
213,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-25-08.JPG,wild boar
214,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-25-16.JPG,wild boar
215,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-25-23.JPG,wild boar
216,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-25-30.JPG,wild boar
217,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-25-37.JPG,wild boar
218,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-25-46.JPG,wild boar
219,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-25-54.JPG,wild boar
220,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-26-02.JPG,wild boar
221,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-26-10.JPG,wild boar
222,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-26-21.JPG,wild boar
223,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-26-28.JPG,wild boar
224,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-26-35.JPG,wild boar
225,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-26-44.JPG,wild boar
226,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-26-51.JPG,wild boar
227,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-27-00.JPG,wild boar
228,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-27-08.JPG,wild boar
229,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-27-15.JPG,wild boar
230,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-27-57.JPG,wild boar
231,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-28-08.JPG,other
232,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-28 03-57-14.JPG,marten
233,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-30 09-31-46.JPG,dog
234,../pictures/01_CZARNE/R/Późna jesień/3/2022-11-30 18-05-32.JPG,marten
235,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-21-58.JPG,marten
236,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-22-40.JPG,marten
237,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-23-24.JPG,marten
238,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-23-37.JPG,marten
239,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-24-17.JPG,marten
240,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-26-47.JPG,marten
241,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-26-55.JPG,marten
242,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-31-12.JPG,marten
243,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-31-19.JPG,marten
244,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-31-55.JPG,marten
245,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-32-03.JPG,marten
246,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-32-11.JPG,marten
247,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-32-29.JPG,marten
248,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-32-46.JPG,marten
249,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-33-10.JPG,marten
250,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-33-21.JPG,marten
251,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 03-35-32.JPG,marten
252,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-01 10-32-12.JPG,bird
253,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-03 19-35-46.JPG,fox
254,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-03 19-35-54.JPG,fox
255,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-04 16-46-21.JPG,fox
256,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-04 16-46-38.JPG,fox
257,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-05 19-23-31.JPG,red deer
258,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-05 19-23-38.JPG,red deer
259,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-05 19-24-02.JPG,red deer
260,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-05 19-32-50.JPG,red deer
261,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-05 19-38-26.JPG,red deer
262,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-06 03-23-53.JPG,fox
263,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-06 03-24-02.JPG,fox
264,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-07 23-10-39.JPG,red deer
265,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-07 23-10-45.JPG,red deer
266,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-07 23-11-08.JPG,red deer
267,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-07 23-11-43.JPG,red deer
268,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-07 23-12-41.JPG,red deer
269,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-07 23-12-56.JPG,red deer
270,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-08 03-26-11.JPG,fox
271,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-08 03-27-05.JPG,fox
272,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-09 01-07-31.JPG,wild boar
273,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-09 01-07-38.JPG,wild boar
274,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-09 01-07-50.JPG,wild boar
275,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-09 01-07-58.JPG,wild boar
276,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-09 01-08-04.JPG,wild boar
277,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-09 01-08-11.JPG,wild boar
278,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-09 01-08-39.JPG,wild boar
279,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-09 01-08-47.JPG,wild boar
280,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-09 01-08-55.JPG,wild boar
281,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-10 17-55-14.JPG,fox
282,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-10 17-55-23.JPG,fox
283,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-10 20-26-36.JPG,fox
284,../pictures/01_CZARNE/R/Późna jesień/3/2022-12-10 20-26-45.JPG,fox
285,../pictures/01_CZARNE/R/Wczesna jesień/1/2022-09-25 03-04-24.JPG,red deer
286,../pictures/01_CZARNE/R/Wczesna jesień/1/2022-09-25 06-19-05.JPG,wild boar
287,../pictures/01_CZARNE/R/Wczesna jesień/1/2022-09-25 06-19-14.JPG,wild boar
288,../pictures/01_CZARNE/R/Wczesna jesień/1/2022-09-25 06-19-22.JPG,wild boar
289,../pictures/01_CZARNE/R/Wczesna jesień/1/2022-09-25 06-19-29.JPG,wild boar
290,../pictures/01_CZARNE/R/Wczesna jesień/1/2022-09-25 06-19-41.JPG,wild boar
291,../pictures/01_CZARNE/R/Wczesna jesień/1/2022-09-25 20-21-24.JPG,red deer
292,../pictures/01_CZARNE/R/Wczesna jesień/1/2022-09-29 16-22-11.JPG,red deer
293,../pictures/01_CZARNE/R/Wczesna jesień/1/2022-10-02 01-03-46.JPG,red deer
294,../pictures/01_CZARNE/R/Wczesna jesień/1/2022-10-02 07-41-44.JPG,red deer
295,../pictures/01_CZARNE/R/Wczesna jesień/1/2022-10-05 20-22-54.JPG,red deer
296,../pictures/01_CZARNE/R/Wczesna jesień/2/2022-10-08 21-36-41.JPG,empty
297,../pictures/01_CZARNE/R/Wczesna jesień/3/2022-09-26 06-29-41.JPG,red deer
298,../pictures/01_CZARNE/R/Wczesna jesień/3/2022-09-28 20-21-46.JPG,red deer
299,../pictures/01_CZARNE/R/Wczesna jesień/3/2022-09-29 04-38-21.JPG,marten
300,../pictures/01_CZARNE/R/Wczesna jesień/3/2022-10-06 11-54-42.JPG,empty
