,image_path,bbox,category,count,empty
28,../../pictures/01_CZARNE/B/Późna jesień/2/2022-12-10 13-17-35.JPG,[     4930.3      1118.5      5366.5      2139.1],2.0,0.0,False
29,../../pictures/01_CZARNE/B/Późna jesień/2/2022-12-10 13-17-54.JPG,[     346.89      965.18      937.22      2485.2],2.0,0.0,False
30,../../pictures/01_CZARNE/B/Późna jesień/2/2022-12-10 13-37-23.JPG,[          0           0           0           0],0.0,0.0,True
31,../../pictures/01_CZARNE/B/Późna jesień/2/2022-12-10 13-37-31.JPG,[     3175.2      1006.3      3705.9      2255.5],2.0,0.0,False
32,../../pictures/01_CZARNE/B/Późna jesień/2/2022-12-10 13-37-39.JPG,[     3011.8      1045.4      3615.8      2262.1],2.0,0.0,False
33,../../pictures/01_CZARNE/B/Późna jesień/2/2022-12-10 13-37-48.JPG,[     2930.4      2016.4      4076.3      2284.4],1.0,1.0,False
34,../../pictures/01_CZARNE/B/Późna jesień/2/2022-12-10 13-38-00.JPG,[     5238.7      1183.9      5844.3      2128.9],2.0,0.0,False
35,../../pictures/01_CZARNE/B/Późna jesień/2/2022-12-10 13-38-08.JPG,[     305.02      1134.3      692.75      2328.4],2.0,0.0,False
36,../../pictures/01_CZARNE/B/Późna jesień/2/2022-12-10 13-43-49.JPG,[     3438.1      2066.1      4194.7      2449.7],1.0,1.0,False
37,../../pictures/01_CZARNE/B/Późna jesień/3/2022-12-06 21-20-43.JPG,[     2348.9      1705.5      3759.6      2874.2],1.0,1.0,False
38,../../pictures/01_CZARNE/B/Późna jesień/3/2022-12-09 03-58-54.JPG,[          0           0           0           0],0.0,0.0,True
39,../../pictures/01_CZARNE/B/Późna jesień/3/2022-12-09 03-59-04.JPG,[     866.17      1516.7        1122      1839.3],1.0,1.0,False
40,../../pictures/01_CZARNE/B/Późna jesień/3/2022-12-09 03-59-13.JPG,[     689.12      1877.4      1228.9      2990.4],1.0,1.0,False
41,../../pictures/01_CZARNE/B/Późna jesień/3/2022-12-10 13-17-29.JPG,[          0           0           0           0],0.0,0.0,True
42,../../pictures/01_CZARNE/B/Późna jesień/3/2022-12-10 13-37-03.JPG,[     754.76      1139.5       952.9      1690.7],2.0,0.0,False
43,../../pictures/01_CZARNE/B/Późna jesień/3/2022-12-10 13-37-54.JPG,[     2833.5      1124.1      3205.8      1833.1],2.0,0.0,False
44,../../pictures/01_CZARNE/B/Wczesna jesień/1/2022-09-25 07-12-39.JPG,[     5666.5      1063.3      5941.3      1484.7],1.0,1.0,False
45,../../pictures/01_CZARNE/B/Wczesna jesień/1/2022-09-26 06-17-05.JPG,[       1001      1674.3      2420.4      2893.3],1.0,1.0,False
46,../../pictures/01_CZARNE/B/Wczesna jesień/1/2022-09-26 06-17-34.JPG,[     1078.9      1582.5      2245.2      2818.8],1.0,1.0,False
47,../../pictures/01_CZARNE/B/Wczesna jesień/1/2022-09-26 06-17-44.JPG,[     1067.1      1703.5      1946.2      2876.4],1.0,1.0,False
48,../../pictures/01_CZARNE/B/Wczesna jesień/1/2022-10-06 00-19-07.JPG,[     704.95      1822.8      1268.4      2159.1],1.0,1.0,False
49,../../pictures/01_CZARNE/B/Wczesna jesień/2/2022-09-25 23-53-12.JPG,[          0           0           0           0],0.0,0.0,True
50,../../pictures/01_CZARNE/B/Wczesna jesień/2/2022-09-26 16-49-12.JPG,[     3706.2      1745.9      4106.9        1961],1.0,1.0,False
51,../../pictures/01_CZARNE/B/Wczesna jesień/2/2022-09-28 23-05-39.JPG,[     3322.6      1817.2      3996.4      2260.4],1.0,1.0,False
52,../../pictures/01_CZARNE/B/Wczesna jesień/2/2022-09-28 23-08-46.JPG,[          0           0           0           0],0.0,0.0,True
53,../../pictures/01_CZARNE/B/Wczesna jesień/2/2022-10-03 18-43-03.JPG,[     2668.1      662.18        4163      2097.7],1.0,1.0,False
54,../../pictures/01_CZARNE/B/Wczesna jesień/2/2022-10-07 06-54-07.JPG,[     3380.8      2017.2      3710.6      2229.6],1.0,1.0,False
55,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-07 19-58-35.JPG,[       1305      722.45      2102.8        1586],1.0,1.0,False
56,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-07 19-59-03.JPG,[     538.74      848.42      1514.6      1937.1],1.0,1.0,False
57,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-07 19-59-13.JPG,[     643.49      852.74      1431.7      1991.3],1.0,1.0,False
58,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-07 19-59-43.JPG,[     300.87      950.31      1065.9      2087.3],1.0,1.0,False
59,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-07 20-03-09.JPG,[     4423.5      491.64      5514.4      1585.2],1.0,1.0,False
60,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-07 20-05-58.JPG,[     846.22      715.04      1889.8      1976.2],1.0,1.0,False
61,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-07 20-06-25.JPG,[     1108.3      439.69      2148.4      1829.1],1.0,1.0,False
62,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-10 13-44-08.JPG,[     3788.8       485.7      5649.6        1525],1.0,1.0,False
63,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-10 13-45-56.JPG,[     3444.9      494.74      4764.6      1474.6],1.0,1.0,False
64,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-10 13-46-13.JPG,[      0.392      868.65      1392.5      2125.3],1.0,1.0,False
65,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-12 21-40-42.JPG,[     3000.5      1587.3      3662.9      1892.5],1.0,1.0,False
66,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-14 11-09-45.JPG,[     1147.9      1424.5      1281.3      1650.3],1.0,1.0,False
67,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-14 11-10-20.JPG,[     3567.2      1069.7      4341.6      1632.9],1.0,1.0,False
68,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-16 22-22-22.JPG,[     566.96      1864.8      885.56      2273.9],1.0,1.0,False
69,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-16 22-39-18.JPG,[     3150.5      1214.5      3665.1      1430.3],1.0,1.0,False
70,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-21 09-53-24.JPG,[          0           0           0           0],0.0,0.0,True
71,../../pictures/01_CZARNE/B/Wiosna/1/2023-05-21 09-56-18.JPG,[     2574.3      1198.6      3440.6      1482.8],1.0,1.0,False
72,../../pictures/01_CZARNE/B/Wiosna/2/2023-05-04 09-00-11.JPG,[          0       464.7      843.81      1899.6],1.0,2.0,False
73,../../pictures/01_CZARNE/B/Wiosna/2/2023-05-07 13-39-01.JPG,[     5796.3      1212.9        6528      2894.6],1.0,1.0,False
74,../../pictures/01_CZARNE/B/Wiosna/2/2023-05-07 13-39-30.JPG,[      468.9      490.22      1933.8      2061.9],1.0,1.0,False
75,../../pictures/01_CZARNE/B/Wiosna/2/2023-05-07 13-41-33.JPG,[     3068.3        1281      3599.4      1659.2],1.0,1.0,False
76,../../pictures/01_CZARNE/B/Wiosna/2/2023-05-07 17-57-20.JPG,[     3319.7        1359      3703.3      1656.2],1.0,1.0,False
77,../../pictures/01_CZARNE/B/Wiosna/2/2023-05-08 07-16-10.JPG,[          0           0           0           0],0.0,0.0,True
78,../../pictures/01_CZARNE/B/Wiosna/2/2023-05-13 05-58-53.JPG,[          0           0           0           0],0.0,0.0,True
79,../../pictures/01_CZARNE/B/Wiosna/2/2023-05-13 22-20-08.JPG,[     1604.6      1982.6        2349      2472.8],1.0,1.0,False
80,../../pictures/01_CZARNE/B/Wiosna/2/2023-05-15 04-32-00.JPG,[          0           0           0           0],0.0,0.0,True
81,../../pictures/01_CZARNE/B/Wiosna/3/2023-05-02 22-39-05.JPG,[     2605.3        1993      3995.2      3504.5],1.0,1.0,False
82,../../pictures/01_CZARNE/B/Wiosna/3/2023-05-05 09-11-05.JPG,[     4780.8      2337.3      5430.1      3507.9],1.0,1.0,False
83,../../pictures/01_CZARNE/B/Wiosna/3/2023-05-06 01-13-02.JPG,[          0           0           0           0],0.0,0.0,True
84,../../pictures/01_CZARNE/B/Wiosna/3/2023-05-06 14-12-14.JPG,[     3272.6      2205.7      3714.5        3301],1.0,1.0,False
85,../../pictures/01_CZARNE/B/Wiosna/3/2023-05-06 14-12-25.JPG,[     2391.6      1942.2      3446.6      3505.1],1.0,1.0,False
86,../../pictures/01_CZARNE/B/Wiosna/3/2023-05-07 13-49-02.JPG,[     5530.2      1360.4        6528      2879.5],1.0,1.0,False
87,../../pictures/01_CZARNE/B/Wiosna/3/2023-05-07 20-06-42.JPG,[     2982.2      2015.4      3856.8      2900.1],1.0,1.0,False
88,../../pictures/01_CZARNE/B/Wiosna/3/2023-05-09 13-42-13.JPG,[     5266.3      2105.7      5481.5      2643.8],1.0,1.0,False
89,../../pictures/01_CZARNE/B/Wiosna/3/2023-05-11 07-37-33.JPG,[          0           0           0           0],0.0,0.0,True
90,../../pictures/01_CZARNE/B/Wiosna/3/2023-05-11 19-05-09.JPG,[     3187.3      1322.6      4155.8      3510.3],1.0,2.0,False
91,../../pictures/01_CZARNE/B/Wiosna/3/2023-05-12 17-49-01.JPG,[     3470.6      1732.6      4567.4      3506.5],1.0,1.0,False
92,../../pictures/01_CZARNE/B/Wiosna/3/2023-05-15 18-50-05.JPG,[          0           0           0           0],0.0,0.0,True
93,../../pictures/01_CZARNE/B/Zima/1/2023-03-09 16-18-49.JPG,[     3.1304        1969      1034.5      2548.1],1.0,1.0,False
94,../../pictures/01_CZARNE/B/Zima/2/2023-02-27 00-07-32.JPG,[     5382.5      1568.1      5819.7      1800.2],1.0,1.0,False
95,../../pictures/01_CZARNE/B/Zima/2/2023-02-27 00-07-40.JPG,[          0           0           0           0],0.0,0.0,True
96,../../pictures/01_CZARNE/B/Zima/2/2023-02-28 07-38-03.JPG,[     4639.7      2098.7      5933.4      2675.3],1.0,1.0,False
97,../../pictures/01_CZARNE/B/Zima/2/2023-02-28 07-38-10.JPG,[     723.49      1754.8      1096.6      2083.2],1.0,1.0,False
98,../../pictures/01_CZARNE/B/Zima/2/2023-02-28 07-53-43.JPG,[     5638.4      1889.6      6521.4      2350.1],1.0,1.0,False
99,../../pictures/01_CZARNE/B/Zima/2/2023-02-28 07-53-50.JPG,[     68.754      1768.5      590.31      2063.4],1.0,1.0,False
100,../../pictures/01_CZARNE/B/Zima/2/2023-02-28 07-54-46.JPG,[     149.77      1875.9       865.8      2232.7],1.0,1.0,False
101,../../pictures/01_CZARNE/B/Zima/2/2023-02-28 08-31-54.JPG,[     760.45           0      3728.8      2100.6],1.0,1.0,False
102,../../pictures/01_CZARNE/B/Zima/2/2023-03-01 22-15-43.JPG,[     4788.6      1655.8      5536.6      1928.2],1.0,1.0,False
103,../../pictures/01_CZARNE/B/Zima/2/2023-03-03 09-43-28.JPG,[     5444.1      587.94        5898      2033.3],2.0,0.0,False
104,../../pictures/01_CZARNE/B/Zima/2/2023-03-05 23-56-15.JPG,[     5463.4      1656.4      5951.1      1965.2],1.0,1.0,False
105,../../pictures/01_CZARNE/B/Zima/2/2023-03-06 06-00-19.JPG,[       5053      1736.5      5715.3      2140.1],1.0,1.0,False
106,../../pictures/01_CZARNE/B/Zima/2/2023-03-06 06-00-27.JPG,[       3399      1603.6      4180.3      1965.8],1.0,1.0,False
107,../../pictures/01_CZARNE/B/Zima/2/2023-03-06 06-00-34.JPG,[       2102      1606.6      2826.2      1846.8],1.0,1.0,False
108,../../pictures/01_CZARNE/B/Zima/2/2023-03-08 13-24-20.JPG,[     4554.9      2058.1      4679.9      2209.4],1.0,1.0,False
109,../../pictures/01_CZARNE/B/Zima/2/2023-03-09 14-02-59.JPG,[     1236.4      1979.1      2345.6      2465.7],1.0,1.0,False
110,../../pictures/01_CZARNE/B/Zima/2/2023-03-10 18-14-42.JPG,[     5215.5      1704.3      5898.3      2011.1],1.0,1.0,False
111,../../pictures/01_CZARNE/B/Zima/3/2023-02-28 18-23-43.JPG,[          0           0           0           0],0.0,0.0,True
112,../../pictures/01_CZARNE/B/Zima/3/2023-03-01 10-39-58.JPG,[          0           0           0           0],0.0,0.0,True
113,../../pictures/01_CZARNE/B/Zima/3/2023-03-03 09-43-23.JPG,[     1997.8      280.23      2429.7      1282.7],2.0,0.0,False
114,../../pictures/01_CZARNE/B/Zima/3/2023-03-03 09-43-31.JPG,[     3979.8      1171.5      4304.6      2004.8],2.0,0.0,False
115,../../pictures/01_CZARNE/B/Zima/3/2023-03-04 05-33-03.JPG,[          0           0           0           0],0.0,0.0,True
116,../../pictures/01_CZARNE/B/Zima/3/2023-03-04 06-56-42.JPG,[          0           0           0           0],0.0,0.0,True
117,../../pictures/01_CZARNE/B/Zima/3/2023-03-07 04-03-14.JPG,[          0           0           0           0],0.0,0.0,True
118,../../pictures/01_CZARNE/B/Zima/3/2023-03-07 21-43-50.JPG,[     619.74      1595.9      991.53      1874.9],1.0,1.0,False
119,../../pictures/01_CZARNE/B/Zima/3/2023-03-08 04-49-02.JPG,[          0           0           0           0],0.0,0.0,True
120,../../pictures/01_CZARNE/B/Zima/3/2023-03-08 10-25-35.JPG,[     2022.2      811.39      2173.2      1219.3],1.0,1.0,False
121,../../pictures/01_CZARNE/B/Zima/3/2023-03-09 21-40-23.JPG,[          0           0           0           0],0.0,0.0,True
122,../../pictures/01_CZARNE/R/Lato/1/2023-07-16 16-22-36.JPG,[     4997.7      798.33      5787.9      1571.1],1.0,1.0,False
123,../../pictures/01_CZARNE/R/Lato/1/2023-07-16 16-22-49.JPG,[          0           0           0           0],0.0,0.0,True
124,../../pictures/01_CZARNE/R/Lato/1/2023-07-16 16-23-00.JPG,[          0           0           0           0],0.0,0.0,True
125,../../pictures/01_CZARNE/R/Lato/1/2023-07-20 20-57-12.JPG,[     3336.4      1919.4      4100.5      2403.8],1.0,1.0,False
126,../../pictures/01_CZARNE/R/Lato/1/2023-07-27 20-11-08.JPG,[     2716.7      1844.9      3318.9      2248.5],1.0,1.0,False
127,../../pictures/01_CZARNE/R/Lato/2/2023-07-17 06-31-45.JPG,[     2784.1      1951.4        4624      3503.9],1.0,1.0,False
128,../../pictures/01_CZARNE/R/Lato/2/2023-07-17 22-30-59.JPG,[     1202.7      1654.7      1867.8      2211.5],1.0,1.0,False
129,../../pictures/01_CZARNE/R/Lato/2/2023-07-18 03-36-56.JPG,[     5594.8      693.06        6528      2693.2],1.0,1.0,False
130,../../pictures/01_CZARNE/R/Lato/2/2023-07-18 03-37-03.JPG,[     1983.9      679.88        3095      1656.7],1.0,1.0,False
131,../../pictures/01_CZARNE/R/Lato/2/2023-07-18 04-56-24.JPG,[          0           0      6198.1      3517.3],1.0,1.0,False
132,../../pictures/01_CZARNE/R/Lato/2/2023-07-18 04-56-51.JPG,[      849.7     0.19922        6528      3516.9],1.0,1.0,False
133,../../pictures/01_CZARNE/R/Lato/2/2023-07-18 04-57-28.JPG,[     1.2318      529.61      6417.6      3514.7],1.0,1.0,False
134,../../pictures/01_CZARNE/R/Lato/2/2023-07-18 04-57-36.JPG,[     1066.7           0      6508.6      3512.5],1.0,1.0,False
135,../../pictures/01_CZARNE/R/Lato/2/2023-07-18 04-57-54.JPG,[     1075.2           0        6528      3510.1],1.0,1.0,False
136,../../pictures/01_CZARNE/R/Lato/2/2023-07-18 04-58-02.JPG,[     424.41      290.56        6528        3517],1.0,1.0,False
137,../../pictures/01_CZARNE/R/Lato/2/2023-07-18 04-58-17.JPG,[     540.61           0      6049.9      3511.3],1.0,3.0,False
138,../../pictures/01_CZARNE/R/Lato/3/2023-07-28 13-12-15.JPG,[          0           0           0           0],0.0,0.0,True
139,../../pictures/01_CZARNE/R/Późna jesień/1/2022-11-27 20-44-11.JPG,[     223.27      1361.3      1448.5      1748.5],1.0,1.0,False
140,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-03-20.JPG,[       5608       354.4        6528      3180.2],1.0,1.0,False
141,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-06-09.JPG,[     3428.9      794.96      6420.2      3233.6],1.0,1.0,False
142,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-07-03.JPG,[     3750.2      1043.6      5904.7      3196.6],1.0,1.0,False
143,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-07-31.JPG,[     3039.2      1151.9      5683.1      3256.7],1.0,1.0,False
144,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-08-09.JPG,[     1303.6      1414.4      3604.3      3117.1],1.0,1.0,False
145,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-24-54.JPG,[    0.26438      225.76      1405.8      3430.8],1.0,1.0,False
146,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-25-19.JPG,[          0      108.67      2386.3      3421.9],1.0,1.0,False
147,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-27-28.JPG,[    0.48767      321.34      3712.9      3480.3],1.0,1.0,False
148,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-28-10.JPG,[     12.075      103.99      4619.8      3498.1],1.0,1.0,False
149,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-28-18.JPG,[          0      462.83      4205.8        3501],1.0,1.0,False
150,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-28-32.JPG,[      2.213      268.13      3844.8      3498.2],1.0,1.0,False
151,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-30-22.JPG,[     1.4713      42.869      4054.7      3509.2],1.0,1.0,False
152,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-30-47.JPG,[   0.025317      8.1078      5770.4      3516.6],1.0,1.0,False
153,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-08 15-31-10.JPG,[     579.24           0        6528      3513.1],1.0,1.0,False
154,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-09-04.JPG,[     4899.2      1525.8        6528      3461.3],1.0,1.0,False
155,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-09-11.JPG,[     3851.4      1803.8      6138.5      3190.4],1.0,2.0,False
156,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-09-19.JPG,[     1810.8      1896.5      3179.1      2931.2],1.0,3.0,False
157,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-09-30.JPG,[     4369.4      1780.6        6288        3251],1.0,2.0,False
158,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-09-38.JPG,[       2172        1828      3184.3      2769.7],1.0,3.0,False
159,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-09-45.JPG,[     3396.5      1947.8      5168.1        2999],1.0,2.0,False
160,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-09-56.JPG,[     2163.3      1927.4      2827.7      2556.8],1.0,2.0,False
161,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-10-05.JPG,[     502.88      2126.6        1180      3014.4],1.0,3.0,False
162,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-09 01-10-16.JPG,[      445.5      1991.6      959.31      2977.6],1.0,3.0,False
163,../../pictures/01_CZARNE/R/Późna jesień/1/2022-12-10 20-27-31.JPG,[     2564.2      1270.4      3127.1      2017.7],1.0,1.0,False
164,../../pictures/01_CZARNE/R/Późna jesień/2/2022-11-27 16-24-33.JPG,[     5931.9      2031.7        6528      3108.6],1.0,1.0,False
165,../../pictures/01_CZARNE/R/Późna jesień/2/2022-11-27 16-24-49.JPG,[     4639.4      1961.5      5671.1      2859.5],1.0,2.0,False
166,../../pictures/01_CZARNE/R/Późna jesień/2/2022-11-27 16-25-07.JPG,[     3508.4        2010      4913.4      2875.1],1.0,1.0,False
167,../../pictures/01_CZARNE/R/Późna jesień/2/2022-11-27 16-25-23.JPG,[     6171.6      2014.4        6528      2997.7],1.0,1.0,False
168,../../pictures/01_CZARNE/R/Późna jesień/2/2022-11-27 16-25-31.JPG,[       5302      2286.8      6521.2      3471.7],1.0,1.0,False
169,../../pictures/01_CZARNE/R/Późna jesień/2/2022-11-27 16-25-43.JPG,[     3279.4      2297.4      5033.9      3507.9],1.0,3.0,False
170,../../pictures/01_CZARNE/R/Późna jesień/2/2022-11-27 16-25-57.JPG,[     3125.1      2405.2      4468.6      3505.5],1.0,5.0,False
171,../../pictures/01_CZARNE/R/Późna jesień/2/2022-12-01 04-39-36.JPG,[    0.04223      334.85      1195.1      3280.4],1.0,1.0,False
172,../../pictures/01_CZARNE/R/Późna jesień/2/2022-12-01 04-40-53.JPG,[     162.21      15.108      4535.4      3519.2],1.0,1.0,False
173,../../pictures/01_CZARNE/R/Późna jesień/2/2022-12-05 19-30-06.JPG,[     5116.7      1233.9        6528      2658.2],1.0,1.0,False
174,../../pictures/01_CZARNE/R/Późna jesień/2/2022-12-05 19-30-48.JPG,[     4963.2      1042.8        6528      2725.1],1.0,1.0,False
175,../../pictures/01_CZARNE/R/Późna jesień/2/2022-12-05 19-31-32.JPG,[     3426.4      1087.3        5997      3338.4],1.0,1.0,False
176,../../pictures/01_CZARNE/R/Późna jesień/2/2022-12-05 19-32-47.JPG,[     4669.9      1095.1      6416.3      2930.7],1.0,1.0,False
177,../../pictures/01_CZARNE/R/Późna jesień/2/2022-12-08 14-53-11.JPG,[     6019.4      1333.9        6528      2674.9],1.0,1.0,False
178,../../pictures/01_CZARNE/R/Późna jesień/2/2022-12-08 14-59-37.JPG,[     3741.6      1041.5        5220      3184.4],1.0,1.0,False
179,../../pictures/01_CZARNE/R/Późna jesień/2/2022-12-08 14-59-45.JPG,[     3270.9      1083.1      5741.4        3114],1.0,1.0,False
180,../../pictures/01_CZARNE/R/Późna jesień/2/2022-12-09 01-08-37.JPG,[     5799.1      1659.7        6528      2703.5],1.0,1.0,False
181,../../pictures/01_CZARNE/R/Późna jesień/2/2022-12-09 01-09-04.JPG,[     5927.6        1648        6528      2648.2],1.0,1.0,False
182,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-20-57.JPG,[     6016.3      1402.7        6528      1922.8],1.0,1.0,False
183,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-21-04.JPG,[     4368.3      1343.8      4939.3      2057.5],1.0,3.0,False
184,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-21-11.JPG,[     4839.3      1340.9      5541.5      1929.8],1.0,5.0,False
185,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-21-18.JPG,[     2145.7      1253.3      2936.6      1911.8],1.0,4.0,False
186,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-21-27.JPG,[     5269.7      1503.5      6225.4      2378.8],1.0,6.0,False
187,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-21-36.JPG,[     2572.4      1203.3      3365.6        1978],1.0,6.0,False
188,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-21-45.JPG,[     3442.5      1930.4      5479.9      3504.1],1.0,7.0,False
189,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-21-52.JPG,[     2836.4      1894.3        4314      3505.6],1.0,10.0,False
190,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-22-01.JPG,[     3157.9      1455.4        4430      2631.5],1.0,10.0,False
191,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-22-10.JPG,[     3784.6      1500.5      5335.7      2670.3],1.0,6.0,False
192,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-22-20.JPG,[     1532.4      1377.7      2874.2      2275.2],1.0,7.0,False
193,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-22-29.JPG,[     4335.9      1472.7      5159.7      2570.3],1.0,8.0,False
194,../../pictures/01_CZARNE/R/Późna jesień/3/2022-11-27 16-22-36.JPG,[     4227.9        1238      4764.8      1779.3],1.0,4.0,False
