,image,present_animal,detected_animal,correct
58,2023-05-04 06-46-05.JPG,jeleń szlachetny,Brak,False
59,2023-05-05 17-07-19.JPG,jeleń szlachetny,Brak,False
60,2023-05-08 08-22-41.JPG,kuna,wiewiórka,False
61,2023-05-08 17-09-11.JPG,dzik,Brak,False
62,2023-05-09 04-36-44.JPG,kuna,łasica,False
63,2023-05-09 07-34-05.JPG,sarna,Brak,False
64,2023-05-10 00-01-03.JPG,brak,Brak,False
65,2023-05-15 00-07-06.JPG,jenot,borsuk,False
66,2023-05-15 18-24-55.JPG,dzik,dzik,True
67,2023-05-24 07-52-51.JPG,sarna,sarna,True
68,2023-05-28 06-50-32.JPG,dzik,dzik,True
69,2023-06-04 19-57-55.JPG,jeleń szlachetny,Brak,False
70,2023-06-14 13-04-45.JPG,brak,Brak,False
71,2023-07-05 08-07-38.JPG,jenot,Brak,False
72,2023-07-06 18-19-53.JPG,kuna,łasica,False
73,2023-07-07 03-11-31.JPG,sarna,sarna,True
74,2023-07-08 07-43-18.JPG,jeleń szlachetny,jeleń szlachetny,True
75,2023-07-09 19-30-17.JPG,wilk,wilk,True
76,2023-07-10 04-41-00.JPG,dzik,dzik,True
77,2023-07-11 21-08-53.JPG,dzik,Brak,False
78,2023-07-11 22-53-21.JPG,borsuk,borsuk,True
79,2023-07-15 14-26-37.JPG,jeleń szlachetny,jeleń szlachetny,True
80,2023-07-16 01-15-57.JPG,popielica,Brak,False
81,2023-07-18 02-04-12.JPG,kuna,łasica,False
82,2023-07-19 10-06-58.JPG,dzik,dzik,True
83,2023-07-25 22-50-58.JPG,wilk,wilk,True
84,2023-07-26 01-13-30.JPG,borsuk,Brak,False
85,2023-07-27 00-39-21.JPG,brak,Brak,False
86,2023-07-27 17-11-20.JPG,sarna,sarna,True
87,2023-08-01 03-36-25.JPG,wiewiórka,wiewiórka,True
88,2023-08-02 06-17-17.JPG,sarna,sarna,True
89,2023-08-04 02-12-23.JPG,sarna,sarna,True
90,2023-08-05 10-24-22.JPG,jeleń szlachetny,Brak,False
91,2023-08-06 10-22-02.JPG,wiewiórka,wiewiórka,True
92,IMG_0006.JPG,łoś,łoś,True
93,IMG_0016.JPG,sarna,Brak,False
94,IMG_0018.JPG,lis,lis,True
95,IMG_0035 (2).JPG,łoś,łoś,True
96,IMG_0035.JPG,sarna,sarna,True
97,IMG_0036 (3).JPG,sarna,sarna,True
98,IMG_0036.JPG,sarna,sarna,True
99,IMG_0040.JPG,jeleń szlachetny,jeleń szlachetny,True
100,IMG_0046.JPG,jeleń szlachetny,Brak,False
101,IMG_0050.JPG,wilk,wilk,True
102,IMG_0055.JPG,jeleń szlachetny,jeleń szlachetny,True
103,IMG_0058.JPG,łoś,łoś,True
104,IMG_0081.JPG,jeleń szlachetny,jeleń szlachetny,True
105,IMG_0085.JPG,sarna,sarna,True
106,IMG_0094.JPG,jeleń szlachetny,jeleń szlachetny,True
107,IMG_0100.JPG,niedźwiedź,niedźwiedź,True
108,IMG_0125.JPG,ryś,ryś,True
109,IMG_0130.JPG,niedźwiedź,niedźwiedź,True
110,IMG_0194.JPG,ryś,ryś,True
111,IMG_0275.JPG,niedźwiedź,niedźwiedź,True
112,IMG_0282.JPG,jeleń szlachetny,jeleń szlachetny,True
113,IMG_0353.JPG,wilk,wilk,True
114,IMG_0496.JPG,niedźwiedź,niedźwiedź,True
115,IMG_0503.JPG,wilk,wilk,True
116,IMG_0607.JPG,żubr,żubr,True
117,IMG_0726.JPG,wilk,wilk,True
118,IMG_0800.JPG,żbik,kot,False
119,IMG_0814.JPG,bóbr,lis,False
120,IMG_0894.JPG,jeleń szlachetny,jeleń szlachetny,True
